observation_id,battle_id,captured_at,track,game_version,context,result_scope,cohort,participant_scope,troop_name,tier,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,visibility,source_image_sha256,note,survivors,kills,upgrade_ready,deaths,wounded,routed,deployed
rot_2026_09_13_231141_egon_defense_victory_field__party_01__row_001,rot_2026_09_13_231141_egon_defense_victory_field,2026-09-13T23:11:41-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Qartheen Longbowman,5,Qartheen Longbowman [T5],qartheen_longbowman,confirmed_id,Ranged,ranged,full,ffabd4b9a41a007704a421babeff9c062524380b96521001999f864d0b0783d9,,43,301,0,5,18,0,66
rot_2026_09_13_231141_egon_defense_victory_field__party_01__row_002,rot_2026_09_13_231141_egon_defense_victory_field,2026-09-13T23:11:41-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Unsullied,6,Unsullied [T6],unsullied,confirmed_id,Infantry,frontline_infantry,full,ffabd4b9a41a007704a421babeff9c062524380b96521001999f864d0b0783d9,,53,256,0,10,34,0,97
rot_2026_09_13_231141_egon_defense_victory_field__party_01__row_003,rot_2026_09_13_231141_egon_defense_victory_field,2026-09-13T23:11:41-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Qartheen Enthroned Guardian,6,Qartheen Enthroned Guardian [T6],enthroned_guardian,confirmed_id,Ranged,ranged,full,ffabd4b9a41a007704a421babeff9c062524380b96521001999f864d0b0783d9,,3,100,0,7,22,0,32
rot_2026_09_13_231141_egon_defense_victory_field__party_01__row_004,rot_2026_09_13_231141_egon_defense_victory_field,2026-09-13T23:11:41-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Dothraki Khal's Guard,6,Dothraki Khal's Guard [T6],,unresolved_provisional_label,,,full,ffabd4b9a41a007704a421babeff9c062524380b96521001999f864d0b0783d9,,12,40,0,2,4,0,18
rot_2026_09_13_231141_egon_defense_victory_field__party_01__row_005,rot_2026_09_13_231141_egon_defense_victory_field,2026-09-13T23:11:41-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Qarthene Veteran Archer,4,Qarthene Veteran Archer [T4],qartheen_elite_archer,confirmed_id,Ranged,ranged,full,ffabd4b9a41a007704a421babeff9c062524380b96521001999f864d0b0783d9,,9,35,15,1,5,0,15
rot_2026_09_13_231141_egon_defense_victory_field__party_01__row_006,rot_2026_09_13_231141_egon_defense_victory_field,2026-09-13T23:11:41-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Dothraki Barbarian,5,Dothraki Barbarian [T5],,unresolved_provisional_label,,,full,ffabd4b9a41a007704a421babeff9c062524380b96521001999f864d0b0783d9,,2,12,0,1,4,0,7
rot_2026_09_13_231141_egon_defense_victory_field__party_01__row_008,rot_2026_09_13_231141_egon_defense_victory_field,2026-09-13T23:11:41-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Ghiscari Lockstep Legionnaire,6,Ghiscari Lockstep Legionnaire [T6],ghiscari_unsullied_unbroken,confirmed_id,Infantry,frontline_infantry,full,ffabd4b9a41a007704a421babeff9c062524380b96521001999f864d0b0783d9,,1,7,0,0,1,0,2
rot_2026_09_13_231141_egon_defense_victory_field__party_01__row_013,rot_2026_09_13_231141_egon_defense_victory_field,2026-09-13T23:11:41-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Qartheen Pureborn Warrior,4,Qartheen Pureborn Warrior [T4],qartheen_pureborn_warrior,confirmed_id,Infantry,frontline_infantry,full,ffabd4b9a41a007704a421babeff9c062524380b96521001999f864d0b0783d9,,2,2,2,0,3,0,5
rot_2026_09_13_232041_egon_hesh_victory_siege__party_01__row_001,rot_2026_09_13_232041_egon_hesh_victory_siege,2026-09-13T23:20:41-03:00,realm_of_thrones,unknown,siege_attack,completed,Egon Emeros' Party,player_party,Qartheen Longbowman,5,Qartheen Longbowman [T5],qartheen_longbowman,confirmed_id,Ranged,ranged,full,16949da855a6f8e67c514a7b37c3ad501ca0d3e777270e6b6b1aff0b8c80c961,,59,77,0,4,7,0,70
rot_2026_09_13_232041_egon_hesh_victory_siege__party_01__row_002,rot_2026_09_13_232041_egon_hesh_victory_siege,2026-09-13T23:20:41-03:00,realm_of_thrones,unknown,siege_attack,completed,Egon Emeros' Party,player_party,Unsullied,6,Unsullied [T6],unsullied,confirmed_id,Infantry,frontline_infantry,full,16949da855a6f8e67c514a7b37c3ad501ca0d3e777270e6b6b1aff0b8c80c961,,81,45,0,1,3,0,85
